year,division,district,crime type,cases
2014,Malakand,Malakand,Kids:Ransom,0
2014,Malakand,Malakand,Child Lifting,0
2014,Malakand,Malakand,Abduction,0
2014,Malakand,Malakand,Car Theft,0
2014,Malakand,Malakand,Car Snatching,0
2014,Malakand,Malakand,M.Cycle Theft,0
2014,Hazara ,Mansehra,Murder,119
2014,Hazara ,Mansehra,Kids:Ransom,1
2014,Hazara ,Mansehra,Child Lifting,2
2014,Hazara ,Mansehra,Abduction,109
2014,Hazara ,Mansehra,Car Theft,7
2014,Hazara ,Mansehra,Car Snatching,1
2014,Hazara ,Mansehra,M.Cycle Theft,2
2014,Mardan,Mardan,Murder,327
2014,Mardan,Mardan,Kids:Ransom,6
2014,Mardan,Mardan,Child Lifting,3
2014,Mardan,Mardan,Abduction,41
2014,Mardan,Mardan,Car Theft,29
2014,Mardan,Mardan,Car Snatching,5
2014,Mardan,Mardan,M.Cycle Theft,15
2014,Peshawar,Nowshera,Murder,208
2014,Peshawar,Nowshera,Kids:Ransom,4
2014,Peshawar,Nowshera,Child Lifting,1
2014,Peshawar,Nowshera,Abduction,23
2014,Peshawar,Nowshera,Car Theft,19
2014,Peshawar,Nowshera,Car Snatching,7
2014,Peshawar,Nowshera,M.Cycle Theft,9
2014,Peshawar,Peshawar,Murder,643
2014,Peshawar,Peshawar,Kids:Ransom,69
2014,Peshawar,Peshawar,Child Lifting,3
2014,Peshawar,Peshawar,Abduction,85
2014,Peshawar,Peshawar,Car Theft,160
2014,Peshawar,Peshawar,Car Snatching,28
2014,Peshawar,Peshawar,M.Cycle Theft,81
2014,Malakand,Shangla,Murder,31
2014,Malakand,Shangla,Kids:Ransom,0
2014,Malakand,Shangla,Child Lifting,0
2014,Malakand,Shangla,Abduction,9
2014,Malakand,Shangla,Car Theft,1
2014,Malakand,Shangla,Car Snatching,0
2014,Malakand,Shangla,M.Cycle Theft,0
2014,Mardan,Swabi,Murder,228
2014,Mardan,Swabi,Kids:Ransom,4
2014,Mardan,Swabi,Child Lifting,1
2014,Mardan,Swabi,Abduction,24
2014,Mardan,Swabi,Car Theft,2
2014,Mardan,Swabi,Car Snatching,4
2014,Mardan,Swabi,M.Cycle Theft,3
2014,Malakand,Swat,Murder,105
2014,Malakand,Swat,Kids:Ransom,0
2014,Malakand,Swat,Child Lifting,4
2014,Malakand,Swat,Abduction,48
2014,Malakand,Swat,Car Theft,9
2014,Malakand,Swat,Car Snatching,3
2014,Malakand,Swat,M.Cycle Theft,10
2014,D.I.Khan,Tank,Murder,78
2014,D.I.Khan,Tank,Kids:Ransom,1
2014,D.I.Khan,Tank,Child Lifting,1
2014,D.I.Khan,Tank,Abduction,17
2014,D.I.Khan,Tank,Car Theft,0
2014,D.I.Khan,Tank,Car Snatching,1
2014,D.I.Khan,Tank,M.Cycle Theft,1
2014,Hazara ,Tor Ghar,Murder,7
2014,Hazara ,Tor Ghar,Kids:Ransom,0
2014,Hazara ,Tor Ghar,Child Lifting,0
2014,Hazara ,Tor Ghar,Abduction,2
2014,Hazara ,Tor Ghar,Car Theft,0
2014,Hazara ,Tor Ghar,Car Snatching,0
2014,Hazara ,Tor Ghar,M.Cycle Theft,0
2015,Hazara ,Abbottabad,Murder,60
2015,Hazara ,Abbottabad,Kids:Ransom,0
2015,Hazara ,Abbottabad,Child Lifting,2
2015,Hazara ,Abbottabad,Abduction,109
2015,Hazara ,Abbottabad,Car Theft,5
2015,Hazara ,Abbottabad,Car Snatching,0
2015,Hazara ,Abbottabad,M.Cycle Theft,7
2015,Bannu,Bannu,Murder,221
2015,Bannu,Bannu,Kids:Ransom,4
2015,Bannu,Bannu,Child Lifting,2
2015,Bannu,Bannu,Abduction,29
2015,Bannu,Bannu,Car Theft,4
2015,Bannu,Bannu,Car Snatching,1
2015,Bannu,Bannu,M.Cycle Theft,29
2015,Hazara ,Battagram,Murder,34
2015,Hazara ,Battagram,Kids:Ransom,0
2015,Hazara ,Battagram,Child Lifting,0
2015,Hazara ,Battagram,Abduction,18
2015,Hazara ,Battagram,Car Theft,0
2015,Hazara ,Battagram,Car Snatching,0
2015,Hazara ,Battagram,M.Cycle Theft,0
2015,Malakand,Buner,Murder,55
2015,Malakand,Buner,Kids:Ransom,0
2015,Malakand,Buner,Child Lifting,0
2015,Malakand,Buner,Abduction,15
2015,Malakand,Buner,Car Theft,2
2015,Malakand,Buner,Car Snatching,1
2015,Malakand,Buner,M.Cycle Theft,5
2015,Peshawar,Charsadda,Murder,220
2015,Peshawar,Charsadda,Kids:Ransom,1
2015,Peshawar,Charsadda,Child Lifting,4
2015,Peshawar,Charsadda,Abduction,51
2015,Peshawar,Charsadda,Car Theft,14
2015,Peshawar,Charsadda,Car Snatching,10
2015,Peshawar,Charsadda,M.Cycle Theft,15
2015,Malakand,Chitral,Murder,7
2015,Malakand,Chitral,Kids:Ransom,0
2015,Malakand,Chitral,Child Lifting,0
2015,Malakand,Chitral,Abduction,20
2015,Malakand,Chitral,Car Theft,1
2015,Malakand,Chitral,Car Snatching,0
2015,Malakand,Chitral,M.Cycle Theft,0
2015,D.I.Khan,D.I. Khan,Murder,100
2015,D.I.Khan,D.I. Khan,Kids:Ransom,2
2015,D.I.Khan,D.I. Khan,Child Lifting,7
2015,D.I.Khan,D.I. Khan,Abduction,71
2015,D.I.Khan,D.I. Khan,Car Theft,0
2015,D.I.Khan,D.I. Khan,Car Snatching,0
2015,D.I.Khan,D.I. Khan,M.Cycle Theft,40
2015,Malakand,Dir Lower,Murder,42
2015,Malakand,Dir Lower,Kids:Ransom,0
2015,Malakand,Dir Lower,Child Lifting,2
2015,Malakand,Dir Lower,Abduction,17
2015,Malakand,Dir Lower,Car Theft,7
2015,Malakand,Dir Lower,Car Snatching,0
2015,Malakand,Dir Lower,M.Cycle Theft,2
2015,Malakand,Dir Upper,Murder,69
2015,Malakand,Dir Upper,Kids:Ransom,1
2015,Malakand,Dir Upper,Child Lifting,0
2015,Malakand,Dir Upper,Abduction,3
2015,Malakand,Dir Upper,Car Theft,4
2015,Malakand,Dir Upper,Car Snatching,0
2015,Malakand,Dir Upper,M.Cycle Theft,0
2015,Kohat,Hangu,Murder,44
2015,Kohat,Hangu,Kids:Ransom,4
2015,Kohat,Hangu,Child Lifting,1
2015,Kohat,Hangu,Abduction,3
2015,Kohat,Hangu,Car Theft,0
2015,Kohat,Hangu,Car Snatching,0
2015,Kohat,Hangu,M.Cycle Theft,1
2015,Hazara ,Haripur,Murder,55
2015,Hazara ,Haripur,Kids:Ransom,0
2015,Hazara ,Haripur,Child Lifting,1
2015,Hazara ,Haripur,Abduction,35
2015,Hazara ,Haripur,Car Theft,3
2015,Hazara ,Haripur,Car Snatching,0
2015,Hazara ,Haripur,M.Cycle Theft,3
2015,Kohat,Karak,Murder,88
2015,Kohat,Karak,Kids:Ransom,1
2015,Kohat,Karak,Child Lifting,0
2015,Kohat,Karak,Abduction,36
2015,Kohat,Karak,Car Theft,1
2015,Kohat,Karak,Car Snatching,1
2015,Kohat,Karak,M.Cycle Theft,9
2015,Kohat,Kohat,Murder,134
2015,Kohat,Kohat,Kids:Ransom,2
2015,Kohat,Kohat,Child Lifting,2
2015,Kohat,Kohat,Abduction,16
2015,Kohat,Kohat,Car Theft,2
2015,Kohat,Kohat,Car Snatching,3
2015,Kohat,Kohat,M.Cycle Theft,10
2015,Hazara ,Kohistan,Murder,33
2015,Hazara ,Kohistan,Kids:Ransom,0
2015,Hazara ,Kohistan,Child Lifting,0
2015,Hazara ,Kohistan,Abduction,2
2015,Hazara ,Kohistan,Car Theft,0
2015,Hazara ,Kohistan,Car Snatching,0
2015,Hazara ,Kohistan,M.Cycle Theft,0
2015,Bannu,Lakki Marwat,Murder,150
2015,Bannu,Lakki Marwat,Kids:Ransom,0
2015,Bannu,Lakki Marwat,Child Lifting,1
2015,Bannu,Lakki Marwat,Abduction,35
2015,Bannu,Lakki Marwat,Car Theft,2
2015,Bannu,Lakki Marwat,Car Snatching,2
2015,Bannu,Lakki Marwat,M.Cycle Theft,4
2015,Malakand,Malakand,Murder,0
2015,Malakand,Malakand,Kids:Ransom,0
2015,Malakand,Malakand,Child Lifting,0
2015,Malakand,Malakand,Abduction,0
2015,Malakand,Malakand,Car Theft,0
2015,Malakand,Malakand,Car Snatching,0
2015,Malakand,Malakand,M.Cycle Theft,0
2015,Hazara ,Mansehra,Murder,95
2015,Hazara ,Mansehra,Kids:Ransom,1
2015,Hazara ,Mansehra,Child Lifting,1
2015,Hazara ,Mansehra,Abduction,110
2015,Hazara ,Mansehra,Car Theft,5
2015,Hazara ,Mansehra,Car Snatching,1
2015,Hazara ,Mansehra,M.Cycle Theft,2
2015,Mardan,Mardan,Murder,236
2015,Mardan,Mardan,Kids:Ransom,4
2015,Mardan,Mardan,Child Lifting,5
2015,Mardan,Mardan,Abduction,70
2015,Mardan,Mardan,Car Theft,37
2015,Mardan,Mardan,Car Snatching,6
2015,Mardan,Mardan,M.Cycle Theft,27
2015,Peshawar,Nowshera,Murder,144
2015,Peshawar,Nowshera,Kids:Ransom,3
2015,Peshawar,Nowshera,Child Lifting,2
2015,Peshawar,Nowshera,Abduction,20
2015,Peshawar,Nowshera,Car Theft,9
2015,Peshawar,Nowshera,Car Snatching,10
2015,Peshawar,Nowshera,M.Cycle Theft,4
2015,Peshawar,Peshawar,Murder,427
2015,Peshawar,Peshawar,Kids:Ransom,28
2015,Peshawar,Peshawar,Child Lifting,6
2015,Peshawar,Peshawar,Abduction,67
2015,Peshawar,Peshawar,Car Theft,106
2015,Peshawar,Peshawar,Car Snatching,17
2015,Peshawar,Peshawar,M.Cycle Theft,113
2015,Malakand,Shangla,Murder,28
2015,Malakand,Shangla,Kids:Ransom,0
2015,Malakand,Shangla,Child Lifting,0
2015,Malakand,Shangla,Abduction,7
2015,Malakand,Shangla,Car Theft,0
2015,Malakand,Shangla,Car Snatching,0
2015,Malakand,Shangla,M.Cycle Theft,2
2015,Mardan,Swabi,Murder,175
2015,Mardan,Swabi,Kids:Ransom,0
2015,Mardan,Swabi,Child Lifting,3
2015,Mardan,Swabi,Abduction,58
2015,Mardan,Swabi,Car Theft,4
2015,Mardan,Swabi,Car Snatching,3
2015,Mardan,Swabi,M.Cycle Theft,6
2015,Malakand,Swat,Murder,64
2015,Malakand,Swat,Kids:Ransom,2
2015,Malakand,Swat,Child Lifting,0
2015,Malakand,Swat,Abduction,7
2015,Malakand,Swat,Car Theft,13
2015,Malakand,Swat,Car Snatching,0
2015,Malakand,Swat,M.Cycle Theft,12
2015,D.I.Khan,Tank,Murder,55
2015,D.I.Khan,Tank,Kids:Ransom,0
2015,D.I.Khan,Tank,Child Lifting,0
2015,D.I.Khan,Tank,Abduction,20
2015,D.I.Khan,Tank,Car Theft,0
2015,D.I.Khan,Tank,Car Snatching,0
2015,D.I.Khan,Tank,M.Cycle Theft,5
2015,Hazara ,Tor Ghar,Murder,6
2015,Hazara ,Tor Ghar,Kids:Ransom,0
2015,Hazara ,Tor Ghar,Child Lifting,0
2015,Hazara ,Tor Ghar,Abduction,2
2015,Hazara ,Tor Ghar,Car Theft,0
2015,Hazara ,Tor Ghar,Car Snatching,0
2015,Hazara ,Tor Ghar,M.Cycle Theft,0
